name,adname,type,rating,cost,性价比,cluster,餐厅类型
海底捞火锅(拱墅万达店),拱墅区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州滨江开元广场店),滨江区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(杭州余杭万达广场店),余杭区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(临安苕溪商业广场店),临安区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
海底捞火锅(上亿广场店),临平区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
西子火锅·西湖湖景餐厅(西湖店),西湖区,餐饮服务;中餐厅;火锅店,4.7,800,0.7029760321385196,2,高消费高品质型
滇牛老杨潮汕鲜牛肉火锅,拱墅区,餐饮服务;中餐厅;火锅店,4.6,66,1.094015762005046,1,大众品质型
巴奴毛肚火锅(杭州萧山万象汇店),萧山区,餐饮服务;中餐厅;火锅店,4.6,145,0.9230263038745141,1,大众品质型
小牛滚滚贵州黄牛肉火锅(萧山博地中心店),萧山区,餐饮服务;中餐厅;火锅店,4.7,68,1.1100334851985627,1,大众品质型
月龍吟·黑金(瑞晶店),上城区,餐饮服务;中餐厅;中餐厅,4.8,481,0.7769574977350929,2,高消费高品质型
哥老官重庆美蛙鱼头(杭州大厦购物城·中央商城店),拱墅区,餐饮服务;中餐厅;火锅店,4.7,128,0.9671155198875083,1,大众品质型
山缓缓火锅(杭州中心店),拱墅区,餐饮服务;中餐厅;火锅店,4.7,135,0.9567128384382347,1,大众品质型
海底捞大排档火锅(杭州水晶城购物中心店),拱墅区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
七欣天(临平星火南路店),临平区,餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;海鲜酒楼,4.7,129,0.9655812501871658,1,大众品质型
垚合牛府黄牛肉火锅(合生国贸中心店),西湖区,餐饮服务;中餐厅;火锅店,4.7,75,1.0852665427997132,1,大众品质型
重庆高老九火锅(龙湖西溪天街店),西湖区,餐饮服务;中餐厅;火锅店,4.6,105,0.9863964999152313,1,大众品质型
郭淑芬鲜切牛肉自助老火锅(钱江世纪城店),萧山区,餐饮服务;中餐厅;火锅店,4.7,75,1.0852665427997132,1,大众品质型
柒房里·鸡汤火锅·云南烤肉(滨江店),滨江区,餐饮服务;中餐厅;火锅店,4.8,120,1.0008777394181911,1,大众品质型
红钳侠小龙虾·活鱼火锅·香辣蟹(钱江世纪城店),萧山区,餐饮服务;中餐厅;中餐厅,4.8,130,0.9845755323905997,1,大众品质型
小牛滚滚贵州黄牛肉火锅(国芳天街店),上城区,餐饮服务;中餐厅;火锅店,4.7,78,1.075650782134028,1,大众品质型
泉市鲜活牛肉店(太合C区店),拱墅区,餐饮服务;中餐厅;中餐厅,4.8,122,0.9974680198278741,1,大众品质型
何小姐鲜牛肉火锅(通惠中路店),萧山区,购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;餐饮相关场所;餐饮相关,4.7,67,1.1138740176334954,1,大众品质型
萍姐火锅(天阳·明珠商业中心店),上城区,餐饮服务;中餐厅;火锅店,4.6,98,1.0010620288533425,1,大众品质型
一席地·本地鸡窝(金田店),西湖区,餐饮服务;中餐厅;火锅店,4.7,55,1.1675998424728051,1,大众品质型
三冬麻辣串,余杭区,餐饮服务;中餐厅;中餐厅,4.7,39,1.274099644204539,1,大众品质型
蛮涮自助小火锅·糖水铺子集合店(杭州上城天街店),上城区,餐饮服务;中餐厅;火锅店,4.5,57,1.108253456165225,1,大众品质型
厚贞日式烧肉(杭州来福士中心店),上城区,餐饮服务;外国餐厅;日本料理,4.5,123,0.9335554238386413,1,大众品质型
藏山海·炭火烧肉放题(来福士店),上城区,餐饮服务;中餐厅;中餐厅,4.5,195,0.8525771588023902,1,大众品质型
御牛道日式烤肉料理(杭州万象城店),上城区,餐饮服务;外国餐厅;日本料理,4.7,225,0.8670730842307967,1,大众品质型
313羊庄(钱江国际时代广场-地下广场店),上城区,餐饮服务;中餐厅;中餐厅,4.6,109,0.9786233835750789,1,大众品质型
老乾杯(杭州万象城店),上城区,餐饮服务;外国餐厅;日本料理,4.6,640,0.711740528286511,2,高消费高品质型
胖子烧烤大油边,上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.3,68,1.0155625502880465,1,大众品质型
钱塘串局烧烤,上城区,餐饮服务;中餐厅;中餐厅,4.4,88,0.980253163225733,1,大众品质型
肉大利Max·炭火烧肉(庆春店),上城区,餐饮服务;中餐厅;中餐厅,4.6,109,0.9786233835750789,1,大众品质型
曹有钱串烧酒馆,上城区,餐饮服务;外国餐厅;日本料理,4.5,67,1.0664751232661125,1,大众品质型
永聚烤吧(太平门直街店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.5,111,0.9536931390141199,1,大众品质型
巷子里头烧烤,上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.1,43,1.0834552167394262,0,平价高性价比型
台客熊烧鸟(庆谐路店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.6,135,0.9363572461310381,1,大众品质型
肆野集·猛火菜·露营烧烤·啤酒,上城区,餐饮服务;餐饮相关场所;餐饮相关,4.5,88,1.0025316442081358,1,大众品质型
灶小甜鲜货烧烤,上城区,餐饮服务;中餐厅;火锅店,4.4,57,1.0836256015837755,1,大众品质型
凯旋烧烤(凯旋路),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,74,1.0885959327286687,1,大众品质型
焰请烤肉铺子(杭州天虹购物中心店),上城区,餐饮服务;中餐厅;中餐厅,4.6,85,1.0326990003381638,1,大众品质型
舟山海鲜烧烤(杭州总店),上城区,餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;火锅店,4.5,35,1.2557489097403063,0,平价高性价比型
味巴哥·现烤肉脯(杭州大厦501店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.0,41,1.070185545676216,0,平价高性价比型
马家鱼圆儿,上城区,餐饮服务;中餐厅;中餐厅,4.1,25,1.2584034733635527,0,平价高性价比型
KING KU卿古·烤肉大师(501城市广场店),上城区,餐饮服务;中餐厅;中餐厅,4.3,90,0.953255137693333,1,大众品质型
清真·源牧小牦牛手工拉面·烤肉(顺福商务中心店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.1,16,1.4471201078455207,0,平价高性价比型
三毛烤鸡(近江店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.3,30,1.2521887077458385,0,平价高性价比型
帕米尔餐厅·新疆烧烤·羊肉串(杭州华景宾馆店),上城区,餐饮服务;中餐厅;中餐厅,4.6,72,1.0721462498591425,1,大众品质型
东北烧烤·烤全羊(五福天虹购物中心B座店),上城区,餐饮服务;中餐厅;东北菜,4.0,48,1.0277966847395015,0,平价高性价比型
望江门烧烤(秋涛北路店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.1,81,0.9303973704577008,1,大众品质型
洞氮胡记羊肉馆·烧烤·烤全羊(天虹店),上城区,餐饮服务;中餐厅;火锅店,4.4,82,0.995736300656929,1,大众品质型
蛙有福·美蛙鱼头火锅自助(天虹店),上城区,餐饮服务;中餐厅;中餐厅,4.4,64,1.0540469092868818,1,大众品质型
李记羊庄·烤全羊(五福天虹购物中心B座店),上城区,餐饮服务;中餐厅;中餐厅,4.0,94,0.8783724495007438,0,平价高性价比型
