排名,name,adname,type,rating,cost,性价比
1001,李白图书馆餐厅?杭帮菜名店(九堡店),上城区,餐饮服务;中餐厅;中餐厅,4.7,91,1.0394
1002,三登客江鲜(永福店),余杭区,餐饮服务;中餐厅;海鲜酒楼,4.7,91,1.0394
1003,湘绯·杭城拾佳湘菜(阿里店),余杭区,餐饮服务;中餐厅;湖南菜(湘菜),4.4,68,1.0392
1004,菲滋意式餐厅(西溪印象城店),余杭区,餐饮服务;外国餐厅;意式菜品餐厅,4.4,68,1.0392
1005,菲滋意式餐厅(萧山万象汇店),萧山区,餐饮服务;外国餐厅;西餐厅(综合风味)|餐饮服务;外国餐厅;意式菜品餐厅,4.4,68,1.0392
1006,菲滋意式餐厅(西湖银泰店),上城区,餐饮服务;外国餐厅;意式菜品餐厅,4.4,68,1.0392
1007,菲滋意式餐厅(萧山银隆店),萧山区,餐饮服务;外国餐厅;意式菜品餐厅|餐饮服务;外国餐厅;西餐厅(综合风味),4.4,68,1.0392
1008,菲滋意式餐厅(西湖文化广场店),拱墅区,餐饮服务;外国餐厅;意式菜品餐厅,4.4,68,1.0392
1009,菲滋意式餐厅(富阳东方茂店),富阳区,餐饮服务;外国餐厅;西餐厅(综合风味),4.4,68,1.0392
1010,菲滋意式餐厅(拱墅万达店),拱墅区,餐饮服务;外国餐厅;意式菜品餐厅,4.4,68,1.0392
1011,菲滋意式餐厅(杭州西投银泰店),西湖区,餐饮服务;外国餐厅;意式菜品餐厅,4.4,68,1.0392
1012,菲滋意式餐厅(杭州滨江开元广场店),滨江区,餐饮服务;外国餐厅;意式菜品餐厅,4.4,68,1.0392
1013,鹊拾湘·金奖现炒黄牛肉(杭州来福士店),上城区,餐饮服务;中餐厅;湖南菜(湘菜),4.5,75,1.0391
1014,巡湘记·乡野湖南菜(杭州金沙龙湖店),钱塘区,餐饮服务;中餐厅;湖南菜(湘菜),4.5,75,1.0391
1015,浙皖楼饭店,淳安县,餐饮服务;中餐厅;中餐厅,4.5,75,1.0391
1016,达美乐比萨(滨盛路店),滨江区,餐饮服务;快餐厅;快餐厅,4.5,75,1.0391
1017,达美乐比萨(振兴西路店),临平区,餐饮服务;中餐厅;中餐厅,4.5,75,1.0391
1018,达美乐比萨(天城路店),上城区,餐饮服务;快餐厅;快餐厅,4.5,75,1.0391
1019,达美乐比萨(裕隆大厦店),萧山区,餐饮服务;快餐厅;快餐厅,4.5,75,1.0391
1020,达美乐比萨(明石路德金中心店),上城区,餐饮服务;快餐厅;快餐厅,4.5,75,1.0391
1021,老乡鸡(杭州东站店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.0,46,1.0389
1022,东北风,临平区,餐饮服务;中餐厅;东北菜,4.2,56,1.0388
1023,胖哥俩肉蟹煲(杭州天虹店),上城区,餐饮服务;快餐厅;肯德基,4.6,83,1.0382
1024,匠小灶·江浙菜(西湖·定安路店),上城区,餐饮服务;中餐厅;中餐厅,4.6,83,1.0382
1025,小舅妈社区老火锅(滨江天街店),滨江区,餐饮服务;中餐厅;火锅店,4.6,83,1.0382
1026,柴米夫妻老川菜·小龙虾(华中路店),拱墅区,餐饮服务;中餐厅;中餐厅,4.6,83,1.0382
1027,皖碗鸡(善贤人家店),拱墅区,餐饮服务;中餐厅;中餐厅,4.3,62,1.0379
1028,1点点(万泰城店),上城区,餐饮服务;冷饮店;冷饮店,3.0,17,1.0379
