name,rating,cost,性价比,评分标准化,消费友好度,性价比标准化,综合得分
肉本家·炭烤肉(滨江东和时代店),4.9,106,1.0486153406396395,1.0000000000000002,0.9325613079019074,0.27269974093303245,76.5
小牛滚滚贵州黄牛肉火锅(中财店),4.8,71,1.1223695903350879,0.9545454545454544,0.9564032697547684,0.320790269759668,76.49
戈壁滩西域·清真烤肉餐厅(中盛府店),4.4,18,1.494342396338478,0.7727272727272727,0.9925068119891008,0.5633304491214886,76.49
阿嬷手作(杭州万象城店),4.6,34,1.2938255046885503,0.8636363636363635,0.9816076294277929,0.43258593747725566,76.38
盐蘸牛肉,4.7,49,1.201424427586058,0.909090909090909,0.9713896457765667,0.3723369798868999,76.36
芳芳跷脚牛肉 (高沙店),4.7,50,1.1953734572769987,0.909090909090909,0.970708446866485,0.3683915209705863,76.23
孔岳冒菜(临平店),4.7,50,1.1953734572769987,0.909090909090909,0.970708446866485,0.3683915209705863,76.23
小湘村湘菜(滨兴小区东区店),4.7,50,1.1953734572769987,0.909090909090909,0.970708446866485,0.3683915209705863,76.23
大嘴巴湘菜馆·干煸小龙虾(奥体店),4.7,50,1.1953734572769987,0.909090909090909,0.970708446866485,0.3683915209705863,76.23
面屋目一,4.7,50,1.1953734572769987,0.909090909090909,0.970708446866485,0.3683915209705863,76.23
鸟鸟私房面(来福士臻选店),4.5,25,1.381174543935607,0.8181818181818181,0.9877384196185286,0.48954077746593677,76.2
德克士(滨江儿保店),4.5,25,1.381174543935607,0.8181818181818181,0.9877384196185286,0.48954077746593677,76.2
麦当劳(中豪·江河时代店),4.6,35,1.2836544410678685,0.8636363636363635,0.9809264305177112,0.4259540236517107,76.17
复兴面王(庆春店),4.6,35,1.2836544410678685,0.8636363636363635,0.9809264305177112,0.4259540236517107,76.17
MStand(杭州太平金融大厦店),4.6,35,1.2836544410678685,0.8636363636363635,0.9809264305177112,0.4259540236517107,76.17
鸟鸟好吃店·成都土砂锅串串(杭州总店),4.8,75,1.10835732030609,0.9545454545454544,0.9536784741144414,0.3116537457147666,76.15
DaP,4.7,51,1.1894988856033892,0.909090909090909,0.9700272479564033,0.3645610805609771,76.1
库迪咖啡(世包国际中心店),4.1,9,1.7806073758033323,0.636363636363636,0.9986376021798365,0.7499859205533994,76.1
库迪咖啡(杭州天虹购物中心店),4.1,9,1.7806073758033323,0.636363636363636,0.9986376021798365,0.7499859205533994,76.1
蜜雪冰城(近江店),4.1,9,1.7806073758033323,0.636363636363636,0.9986376021798365,0.7499859205533994,76.1
蜜雪冰城,4.1,9,1.7806073758033323,0.636363636363636,0.9986376021798365,0.7499859205533994,76.1
周姐焦烤鸡架·东北烧烤夜宵,4.8,77,1.101749093397008,0.9545454545454544,0.952316076294278,0.3073449346567407,75.98
