排名,name,adname,type,rating,cost,性价比
302,大宅院(西溪路),西湖区,餐饮服务;中餐厅;中餐厅,4.7,92,1.0369
303,新周记·巷子里的江南味(庆春店),上城区,餐饮服务;中餐厅;浙江菜,4.7,93,1.0345
304,重庆正宗万州烤鱼(萧山006成智店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,93,1.0345
305,COMMUNE幻师(远洋乐堤港B区店),拱墅区,体育休闲服务;娱乐场所;酒吧|餐饮服务;外国餐厅;西餐厅(综合风味),4.7,93,1.0345
306,COMMUNE幻师(EFC欧美广场店),余杭区,餐饮服务;餐饮相关场所;餐饮相关,4.7,93,1.0345
307,幸福小串·地摊小炉子(钱江世纪公园店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,94,1.0321
308,英子小海鲜(下沙新视界未来中心店),钱塘区,餐饮服务;中餐厅;海鲜酒楼,4.7,94,1.0321
309,爱人再见小酒馆(奥体店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,95,1.0297
310,绿茶餐厅(灵隐路店·品牌旗舰店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,95,1.0297
311,晚酒·阿英川菜馆(上塘路三店),拱墅区,餐饮服务;中餐厅;四川菜(川菜),4.7,95,1.0297
312,馬鸿興·川小馆(杭州中心店),拱墅区,餐饮服务;中餐厅;四川菜(川菜),4.7,95,1.0297
313,潮中人潮汕大排档,上城区,餐饮服务;中餐厅;中餐厅,4.7,95,1.0297
314,陆幺陆家常菜古墩路店,西湖区,餐饮服务;中餐厅;中餐厅,4.7,95,1.0297
315,破店肥哈·海鲜·烧烤(杭州滨江店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.7,95,1.0297
316,马路边边火锅串串香(杭州总店),上城区,餐饮服务;中餐厅;火锅店,4.7,96,1.0274
317,LuLuoBo绿萝卜(中山北路店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,96,1.0274
318,印象临安(城东店),临安区,餐饮服务;中餐厅;中餐厅|商务住宅;商务住宅相关;商务住宅相关,4.7,97,1.0251
319,新周记·巷子里的江南味(鼓楼店),上城区,餐饮服务;中餐厅;中餐厅,4.7,98,1.0228
320,三两好友深夜食堂·焗海鲜·烤乳猪·脆皮烤鸡(西溪八方城店),余杭区,餐饮服务;中餐厅;中餐厅,4.7,98,1.0228
321,猪笼城寨·鲜货烧烤龙虾·怀旧包厢·大排档(萧山店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,98,1.0228
322,马大虾小龙虾·盆盆蟹·杭城地标十星大排档,滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.7,98,1.0228
323,MAMA精致川菜(保利天汇店),滨江区,餐饮服务;中餐厅;四川菜(川菜),4.7,99,1.0206
324,山河屯铁锅炖·东北菜(杭州一店),上城区,餐饮服务;中餐厅;东北菜,4.7,99,1.0206
325,大川日本料理·深夜居酒屋(解放路店),上城区,餐饮服务;外国餐厅;日本料理,4.7,99,1.0206
326,大川日本料理·深夜居酒屋(火车东站店),上城区,餐饮服务;外国餐厅;日本料理,4.7,99,1.0206
327,小林刺身(朝晖店),拱墅区,餐饮服务;外国餐厅;日本料理|生活服务;生活服务场所;生活服务场所,4.7,99,1.0206
328,天香楼(延安路店),拱墅区,餐饮服务;中餐厅;综合酒楼,4.7,100,1.0184
329,马灯部落-杭帮创意菜(杭州西湖虎跑店),西湖区,餐饮服务;中餐厅;浙江菜,4.7,100,1.0184
330,川塘风乐山冷锅鱼美蛙鱼头,西湖区,餐饮服务;中餐厅;中餐厅,4.7,100,1.0184
331,那些年·花园西餐·窑炉披萨(新天地店),临平区,餐饮服务;咖啡厅;咖啡厅,4.7,100,1.0184
332,喀摩尔土耳其餐厅,上城区,餐饮服务;外国餐厅;西餐厅(综合风味),4.7,100,1.0184
333,武林虾客·小龙虾·江南生腌(凤起路店),拱墅区,餐饮服务;中餐厅;海鲜酒楼,4.7,100,1.0184
334,旷野听风 不想上班(芳塘店),上城区,餐饮服务;中餐厅;中餐厅,4.7,101,1.0162
335,四灶儿·地道杭帮菜(湖墅南路店),拱墅区,餐饮服务;中餐厅;浙江菜,4.7,102,1.0141
336,梅溪徐记·鲜牛肉火锅(余杭鼎创杭州首店),余杭区,餐饮服务;中餐厅;火锅店,4.7,102,1.0141
337,新周记·巷子里的江南味(平海路店),上城区,餐饮服务;中餐厅;中餐厅,4.7,103,1.012
338,潮根夜档.潮汕菜.大排档(杭州总店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,103,1.012
339,泉市鲜活牛肉店(东站万象汇店),上城区,餐饮服务;中餐厅;中餐厅,4.7,103,1.012
340,泉市鲜活牛肉店(太合B区店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,103,1.012
341,泉市鲜活牛肉店(中南乐游城店),滨江区,餐饮服务;中餐厅;火锅店,4.7,103,1.012
342,永遇乐海鲜自助餐厅·火锅烤肉蒸锅,临平区,餐饮服务;中餐厅;中餐厅,4.7,103,1.012
343,阿毛饭店·传统宁波菜(杭州来福士中心店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,104,1.0099
344,海底捞火锅(杭州庆春路夜宵主题店),上城区,餐饮服务;中餐厅;火锅店,4.7,104,1.0099
345,粤见粤发(拱墅店),拱墅区,餐饮服务;中餐厅;广东菜(粤菜),4.7,104,1.0099
346,你又瘦了小酒馆(奥体店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,105,1.0078
347,麻爪·大连特色海鲜烧烤(杭州大悦城店),拱墅区,餐饮服务;餐饮相关场所;餐饮相关,4.7,105,1.0078
348,烟火神炭·炭火砂锅·烧烤小海鲜大排档·小龙虾,西湖区,餐饮服务;餐饮相关场所;餐饮相关,4.7,105,1.0078
349,3号仓库·创意中国菜(钱江新城店),上城区,餐饮服务;中餐厅;中餐厅,4.7,106,1.0058
350,伊家鲜·经典杭帮菜(黄龙店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,106,1.0058
351,禄德林川味黑鱼花(萧山店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,106,1.0058
352,赵美丽·重庆社区火锅·直营店(火车东站·中豪国际店),上城区,餐饮服务;中餐厅;火锅店,4.7,106,1.0058
353,宽马记大排档·热鲜牛肉海鲜火锅(临平店),临平区,餐饮服务;中餐厅;中餐厅,4.7,106,1.0058
354,三个蒙古大叔(朝龙汇D+PARK店),萧山区,餐饮服务;中餐厅;综合酒楼,4.7,107,1.0038
355,城东海鲜大排档(中豪五星国际店),上城区,餐饮服务;中餐厅;海鲜酒楼,4.7,107,1.0038
356,瀛海牛·鲜切牛肉海鲜火锅,上城区,餐饮服务;中餐厅;火锅店,4.7,108,1.0018
357,望江门小龙虾·虾王大排挡(杭州总店),滨江区,餐饮服务;中餐厅;海鲜酒楼,4.7,108,1.0018
358,蜀谭记·盐帮川菜(杭州首店),滨江区,餐饮服务;中餐厅;四川菜(川菜),4.7,109,0.9999
359,8+1广式大排档·海肠捞饭·夜宵食堂,滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.7,109,0.9999
360,313羊庄(萧山总店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,109,0.9999
361,昊来了寿司,萧山区,餐饮服务;外国餐厅;日本料理,4.7,109,0.9999
362,虾不打烊小龙虾馆,临平区,餐饮服务;中餐厅;中餐厅,4.7,109,0.9999
363,汝拉?西溪哩(西溪湿地福堤慢生活街区店),西湖区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,110,0.998
364,水墨徽I新安·徽菜(钱江世纪城店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,110,0.998
365,佬太公海鲜·象山大排档(杭州首店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,110,0.998
