综合排名,name,adname,type,rating,cost,性价比,评分标准化,消费友好度,性价比标准化,综合得分
281,川味泡菜馆(黄姑山路店),西湖区,餐饮服务;中餐厅;四川菜(川菜),4.7,69,1.1062740410962182,0.909090909090909,0.9577656675749319,0.31029536976612687,74.16
282,小湘厨滨康店,滨江区,餐饮服务;中餐厅;中餐厅,4.7,69,1.1062740410962182,0.909090909090909,0.9577656675749319,0.31029536976612687,74.16
283,郭包又东北菜(北软中天园店),拱墅区,餐饮服务;中餐厅;东北菜,4.7,69,1.1062740410962182,0.909090909090909,0.9577656675749319,0.31029536976612687,74.16
284,野火烧烤·东北菜,上城区,餐饮服务;中餐厅;中餐厅,4.7,69,1.1062740410962182,0.909090909090909,0.9577656675749319,0.31029536976612687,74.16
285,穆羊客清真火锅烤肉一体,上城区,餐饮服务;中餐厅;清真菜馆,4.7,69,1.1062740410962182,0.909090909090909,0.9577656675749319,0.31029536976612687,74.16
286,炉上牛肉档·牛肉粿条·牛腩饭·火锅(萧山嘉润公馆店),萧山区,餐饮服务;中餐厅;火锅店,4.6,47,1.1882617273137122,0.8636363636363635,0.9727520435967303,0.3637544070928244,74.1
287,粤蒸倌·瑶姐古法干蒸菜(滨江店),滨江区,餐饮服务;中餐厅;中餐厅,4.6,47,1.1882617273137122,0.8636363636363635,0.9727520435967303,0.3637544070928244,74.1
288,大俺徽地锅鸡(星荟广场店),滨江区,餐饮服务;中餐厅;中餐厅,4.6,47,1.1882617273137122,0.8636363636363635,0.9727520435967303,0.3637544070928244,74.1
289,南田云米·传统菊花过桥米线,西湖区,餐饮服务;快餐厅;快餐厅,4.6,47,1.1882617273137122,0.8636363636363635,0.9727520435967303,0.3637544070928244,74.1
290,靓靓蒸虾·鲜鱼杂王·鲜货烧烤(武林广场店),拱墅区,餐饮服务;中餐厅;海鲜酒楼,4.8,105,1.0292833042593719,0.9545454545454544,0.9332425068119891,0.26009453029551993,74.09
291,渝妹重庆火锅,余杭区,餐饮服务;中餐厅;火锅店,4.7,70,1.1025927668915698,0.909090909090909,0.9570844686648501,0.30789504132419415,74.07
292,piccolo披萨店,上城区,餐饮服务;快餐厅;快餐厅,4.7,70,1.1025927668915698,0.909090909090909,0.9570844686648501,0.30789504132419415,74.07
293,肯德基(庆春店),拱墅区,餐饮服务;快餐厅;肯德基,4.5,33,1.2761032142310003,0.8181818181818181,0.9822888283378747,0.42103034137747714,74.01
294,麦当劳(三花国际大厦店),上城区,餐饮服务;快餐厅;快餐厅,4.5,33,1.2761032142310003,0.8181818181818181,0.9822888283378747,0.42103034137747714,74.01
295,衢八鲜?开化山水菜,上城区,餐饮服务;中餐厅;浙江菜,4.7,71,1.0989868905364402,0.909090909090909,0.9564032697547684,0.30554387509963493,73.99
296,柴米夫妻四川自贡盐帮菜(新塘店),上城区,餐饮服务;中餐厅;四川菜(川菜),4.7,71,1.0989868905364402,0.909090909090909,0.9564032697547684,0.30554387509963493,73.99
297,857铁锅炖 东北饭儿,上城区,餐饮服务;中餐厅;中餐厅,4.7,71,1.0989868905364402,0.909090909090909,0.9564032697547684,0.30554387509963493,73.99
298,郭包又东北菜(西兴店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,71,1.0989868905364402,0.909090909090909,0.9564032697547684,0.30554387509963493,73.99
299,锦遇·唐风宋韵灶台鱼里·正宗淳牌鱼,淳安县,餐饮服务;中餐厅;中餐厅,4.7,71,1.0989868905364402,0.909090909090909,0.9564032697547684,0.30554387509963493,73.99
300,超火锅(滨江店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.8,107,1.0251741711537152,0.9545454545454544,0.9318801089918256,0.25741522185043303,73.97
301,粤蒸倌·瑶姐古法干蒸菜(钱塘高沙店),钱塘区,餐饮服务;中餐厅;中餐厅,4.6,48,1.1819661874504266,0.8636363636363635,0.9720708446866485,0.35964947968152633,73.95
302,小苏哥·湘菜(杭行荟店),余杭区,餐饮服务;中餐厅;湖南菜(湘菜),4.6,48,1.1819661874504266,0.8636363636363635,0.9720708446866485,0.35964947968152633,73.95
303,黄龙海鲜大排档(杭州总店),西湖区,餐饮服务;中餐厅;海鲜酒楼,4.9,160,0.964300348495289,1.0000000000000002,0.8957765667574932,0.2177232131128916,73.93
304,小树林老成都火锅串串香·盖碗茶(宠物友好店),滨江区,餐饮服务;中餐厅;火锅店,4.7,72,1.0954537770299935,0.909090909090909,0.9557220708446866,0.303240152973369,73.9
305,正哥点心专家(国大广场店),拱墅区,餐饮服务;餐饮相关场所;餐饮相关,4.7,72,1.0954537770299935,0.909090909090909,0.9557220708446866,0.303240152973369,73.9
306,东北一锅香(丰谭路城西店),西湖区,餐饮服务;中餐厅;东北菜,4.7,72,1.0954537770299935,0.909090909090909,0.9557220708446866,0.303240152973369,73.9
307,幸会东北烤肉,滨江区,餐饮服务;中餐厅;中餐厅,4.7,72,1.0954537770299935,0.909090909090909,0.9557220708446866,0.303240152973369,73.9
308,蜜雪冰城(观音塘店),上城区,餐饮服务;冷饮店;冷饮店,3.9,7,1.8755035531556525,0.5454545454545454,1.0,0.8118617768104106,73.9
309,蜜雪冰城(昆龙美食城店),上城区,餐饮服务;冷饮店;冷饮店,3.9,7,1.8755035531556525,0.5454545454545454,1.0,0.8118617768104106,73.9
310,麦当劳(四季青中国服装第一街店),上城区,餐饮服务;快餐厅;麦当劳,4.4,24,1.3669368560311461,0.7727272727272727,0.9884196185286104,0.4802572725367779,73.89
311,麦当劳(涌金餐厅),上城区,餐饮服务;快餐厅;麦当劳,4.4,24,1.3669368560311461,0.7727272727272727,0.9884196185286104,0.4802572725367779,73.89
312,老纪蚝宅(爱橙街店),余杭区,餐饮服务;中餐厅;海鲜酒楼,4.8,109,1.021172226339213,0.9545454545454544,0.9305177111716622,0.25480580417946314,73.86
313,元气考拉·湖南小炒,萧山区,餐饮服务;中餐厅;湖南菜(湘菜),4.6,49,1.1758622057225245,0.8636363636363635,0.9713896457765667,0.3556694553377759,73.82
314,喜贡·爆炒新桥三嫩(联合中心店),萧山区,餐饮服务;中餐厅;特色/地方风味餐厅,4.6,49,1.1758622057225245,0.8636363636363635,0.9713896457765667,0.3556694553377759,73.82
315,骨里香饺子居(萧清大道店),萧山区,餐饮服务;中餐厅;特色/地方风味餐厅,4.6,49,1.1758622057225245,0.8636363636363635,0.9713896457765667,0.3556694553377759,73.82
316,马丫·东北饭儿(中豪江河时代店),上城区,餐饮服务;中餐厅;中餐厅,4.7,73,1.0919909197983517,0.909090909090909,0.9550408719346049,0.300982240565495,73.81
317,川婆婆酸菜鱼(市心中路店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,73,1.0919909197983517,0.909090909090909,0.9550408719346049,0.300982240565495,73.81
318,大俺徽地锅鸡(转塘象山国际店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,73,1.0919909197983517,0.909090909090909,0.9550408719346049,0.300982240565495,73.81
